FP1,FP2,F3,F4,C3,C4,P3,P4,01,02,F7,F8,P7,P8,Fz,Cz,Pz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6,EMG1,EMG2,IO,EMG3,EMG4
3,-1,8,16,7,13,0,5,-13,-14,8,5,-17,-1,12,11,3,10,8,8,-11,2,7,4,7,-494,-1828,-12,-23,2958
-15,-9,-10,-4,-9,-8,-9,-9,5,13,-13,-14,-16,-2,-5,-3,-9,-7,0,-3,6,-10,-15,-11,-4,-797,-1638,-66,434,-2717
3,2,-8,-7,1,0,-3,-6,-44,3,-3,-9,3,7,1,1,5,-1,-13,-3,-100,-1,-10,-7,-17,2968,2100,-27,-4558,3023
28,44,27,22,30,34,32,34,33,26,21,24,18,50,32,32,31,29,35,34,39,22,22,23,35,-1280,1062,-44,899,2524
-17,-14,-12,-6,-8,-11,-9,-9,-56,3,-13,-11,-19,-9,-14,14,-6,-12,-11,-12,-64,-3,-13,-6,-14,-5384,1687,-32,-2244,1102
-11,-3,15,19,6,4,6,8,2,2,5,5,-15,-2,9,5,0,9,9,4,11,11,6,10,11,785,-1168,8,389,310
-13,-14,-14,-12,-14,-12,-5,-13,-5,10,-13,-16,-1,-3,-14,-16,-6,-15,-8,-9,-23,-13,-17,-9,-13,2492,-750,-65,352,-1886
-19,-21,-23,-32,-27,-20,-36,-32,-99,80,-14,-30,-32,-26,-14,-55,-28,-17,-44,-24,-102,-18,-36,-26,-44,3084,-3920,64,-4872,2714
-6,-14,-17,-11,-13,-10,-8,-8,-7,15,-13,-15,-3,-5,-12,-15,-8,-13,-11,-11,-13,-8,-11,-8,-10,-884,-316,8,-490,-1408
2,-4,-2,1,1,4,3,19,29,4,-4,6,-1,33,-1,6,6,0,5,1,19,-5,1,-7,14,3196,-2503,56,-18,-18
-28,-26,-36,-25,-34,-20,-34,-30,-9,191,-26,-27,-38,-11,-30,-26,-31,-30,-13,-28,-72,-28,-28,-32,-20,-4380,2616,42,765,-3858
-1,-1,-10,-15,-7,3,-3,3,2,33,-4,-8,25,24,-8,-11,-5,-11,-35,-12,-75,-8,-9,-1,-10,-3468,-1580,-78,-2518,1582
-9,-8,-23,-27,-18,-17,-14,-12,-5,3,-11,-7,-6,-7,-20,-20,-13,-22,-23,-16,-16,-17,-15,-15,-15,-644,186,20,-79,-397
-39,-39,-43,-40,-46,-38,-56,-45,-99,33,-34,-43,-52,-28,-33,-57,-41,-34,-49,-41,-92,-33,-47,-44,-49,4585,-4331,70,-5116,3172
14,0,-3,-9,0,-1,0,0,2,-8,-2,2,5,15,-1,6,2,4,0,3,4,-7,-4,-8,-5,1824,-2560,38,-307,-960
19,24,21,9,14,13,11,16,11,9,18,25,22,27,21,42,5,22,15,14,-17,15,18,1,9,-3065,128,48,-2610,1506
27,23,21,20,23,29,17,25,12,10,19,21,9,5,22,25,21,22,18,25,34,19,27,21,28,-968,-649,18,-1331,278
6,5,-17,-26,-12,-11,-12,-10,-7,-4,-7,-4,8,2,-12,-10,-9,-12,-13,-7,-11,-17,-10,-17,-13,1132,-1772,17,346,2826
18,25,21,9,14,14,11,18,8,11,17,25,21,29,21,42,6,22,15,14,-14,15,18,1,12,-3066,268,47,-2439,1646
-34,-32,-38,-26,-39,-35,-51,-37,-13,-195,-32,-25,-43,-26,-37,-30,-50,-36,-6,-34,34,-34,-30,-46,-33,-3477,2262,66,-359,-3415
9,5,-7,-2,-4,-1,3,-2,2,42,4,3,18,-10,-4,11,3,-2,3,7,17,-2,0,-6,-10,-3602,1328,73,-2122,3186
7,8,9,7,5,9,6,6,13,20,9,12,-5,5,3,11,2,9,2,7,34,11,8,7,3,-2116,1098,74,1624,1854
7,1,-4,-4,-1,2,-2,-3,-31,4,0,-10,-4,-7,3,-30,11,2,10,5,-68,0,-14,-2,-9,2674,-4284,12,-1765,2705
26,27,19,16,25,26,19,19,-28,32,21,17,11,19,23,16,24,22,13,17,-75,24,21,19,11,3010,-714,-30,-5399,2996
10,7,-4,-15,-1,0,2,4,3,8,-3,2,-2,-4,-2,1,4,4,-1,0,-8,-3,-7,-7,0,-2314,1672,14,-1670,-573
1,10,3,-4,1,-1,1,1,4,6,-4,-4,14,2,0,1,2,5,0,0,-5,3,-7,-7,-6,-2782,1629,10,-1581,-799
-3,2,-4,-7,-6,-2,1,7,-5,-6,-10,-8,16,14,-10,-2,-9,-5,-11,-3,51,-10,-7,-8,-11,-4282,620,-4,3920,610
12,11,-3,-4,2,8,-8,4,-59,69,4,-3,-11,26,11,-17,28,5,-19,17,-126,6,-2,-5,-3,2737,-4374,16,-5142,2760
-7,-2,2,-6,-4,1,-2,3,-5,15,-7,-8,-2,-4,0,-5,1,1,-2,-5,-4,4,-8,0,1,-1520,139,10,-1422,-710
1,4,8,12,7,8,10,14,11,4,5,9,-3,10,5,12,3,8,8,6,6,5,6,6,13,56,-484,18,-816,52
9,9,8,5,6,14,7,16,16,18,8,8,18,11,5,5,3,3,-8,2,-40,8,16,11,8,-4467,-1258,-96,126,770
4,8,6,6,2,9,6,8,11,53,8,9,2,7,2,9,10,4,3,9,28,9,6,4,0,-3226,940,76,438,3196
-4,-7,3,10,4,3,7,9,10,-7,2,2,0,-6,0,6,6,4,5,3,10,2,-6,2,0,2412,-2644,36,-346,-513
-13,-15,8,20,0,3,-2,4,-2,-9,2,-1,-16,8,8,7,1,9,12,2,8,2,-7,-5,1,1070,-1930,26,-532,-457
6,6,7,-4,5,0,8,6,13,3,8,8,4,15,7,-10,7,4,-7,2,48,9,6,11,2,-576,-468,51,3907,-2120
-25,-36,-17,-11,-16,-22,-13,-31,-20,-9,-20,-32,-20,-45,-16,-26,-18,-17,-14,-15,-27,-11,-32,-2,-28,2436,-498,-73,-16,-1773
-12,-20,-18,-10,-16,-15,-12,-10,-8,-9,-14,-13,-8,-9,-19,-19,-7,-19,-13,-14,-5,-13,-9,-11,-14,4344,-975,31,292,-539
1,16,17,1,8,14,6,6,8,0,7,5,13,8,17,16,6,9,5,-6,-9,0,19,5,12,128,-1846,-14,-1869,-2130
10,11,11,1,6,4,3,6,-8,-30,8,11,5,2,8,17,-1,11,-3,1,-53,12,10,6,1,-2996,-604,51,3060,630
10,-7,-4,-12,-1,-1,-2,-11,-8,77,-4,-6,5,-22,-1,-5,-20,-3,-1,-3,-3,-1,-2,3,-2,-228,-597,-34,3083,-64
6,-20,23,20,14,12,12,4,2,223,11,4,2,-8,18,1,-26,13,12,5,13,16,17,20,6,-802,-80,-46,1120,2340
5,7,6,3,-3,3,0,3,-8,17,7,6,11,-10,4,6,2,8,0,7,-16,7,2,1,4,-3397,148,62,-2908,3046
-14,-14,-18,-15,-18,-13,-12,-12,0,-33,-15,-15,-13,-18,-21,-20,-20,-18,-21,-19,9,-11,-13,-7,-17,-1922,-435,16,2915,-434
15,13,24,24,19,19,20,20,26,33,15,17,2,20,22,26,28,24,27,24,28,13,19,10,16,3210,88,24,-2046,1563
-6,-6,-10,-13,-9,1,-7,-3,-8,19,-4,-11,20,14,-9,-11,-10,-13,-34,-13,-62,-10,-11,-4,-21,-3578,-1396,-80,-2184,1663
15,14,9,2,8,7,11,14,10,58,8,11,25,10,5,13,9,9,10,9,19,10,8,5,9,-2162,2865,10,1078,-813
19,15,19,24,21,23,27,36,45,-18,5,18,13,37,14,51,27,20,30,20,65,16,22,24,29,-3354,2615,-32,662,-3360
-33,-34,-39,-40,-42,-40,-50,-46,-83,-50,-34,-44,-43,-43,-35,-75,-37,-33,-45,-33,-61,-33,-46,-43,-58,4336,-3142,70,-5166,3335
-1,3,1,1,2,3,5,3,22,23,0,1,4,-4,1,3,7,2,3,5,-5,5,-2,0,4,2200,-572,-79,1166,-2194
6,-1,8,11,9,12,12,-1,0,2,10,4,-5,-40,10,5,6,8,13,11,7,12,5,14,15,997,-970,-76,40,-3129
-26,-32,-30,-19,-29,-31,-31,-39,-9,50,-19,-20,-26,-42,-32,-12,-25,-27,10,-19,-56,-18,-37,-26,-35,-4052,471,40,2181,-4120
10,14,14,4,8,9,7,13,-2,-19,8,13,-7,1,13,15,5,14,-1,4,-58,14,17,12,14,-2990,-125,49,3805,830
8,4,-6,-2,-2,0,5,3,0,39,5,5,8,-8,-3,11,8,1,4,8,16,1,-4,4,-2,-3498,1540,74,-2100,3144
9,46,30,13,17,19,16,14,20,21,21,20,19,25,24,17,12,20,30,16,-3,12,22,15,13,-397,-380,-14,458,-1642
-7,-8,-6,-2,-5,-2,-8,-7,9,8,-11,-15,-2,-5,-1,1,2,0,5,0,6,-9,-18,-16,-10,1762,-742,-89,804,-2216
-31,-33,-40,-49,-41,-37,-53,-46,-107,46,-27,-41,-37,-54,-31,-77,-37,-34,-58,-42,-114,-35,-43,-39,-50,3714,-3332,78,-4972,2854
-8,-13,-12,-11,-11,-5,-6,-13,-21,19,-7,-12,-7,-24,-13,-19,-7,-14,-6,-8,-28,-6,-13,-4,-11,2766,-2466,-72,-1522,-4485
0,-29,-6,4,-7,-5,-9,-12,-13,-24,3,-5,6,-30,-5,-10,-10,-6,-11,-7,-24,-2,-4,-1,-15,-672,-524,0,813,2967
12,14,15,5,9,9,7,13,-2,-22,9,14,-1,2,13,17,5,15,0,4,-55,16,16,11,12,-2995,-154,50,3736,759
24,21,19,21,20,20,27,33,44,-23,16,23,31,20,22,48,41,25,21,22,62,15,25,21,38,4334,2848,-18,-329,-2044
2,24,-12,-19,-7,-7,-5,-4,-4,1,-7,0,-7,10,-12,-11,-2,-10,-5,-6,1,-8,4,-5,-4,4468,-633,32,-192,514
-19,-5,-3,1,-8,2,-4,9,-5,6,-9,-11,-14,15,-2,-6,2,-4,-1,-5,-8,-2,-15,-4,1,-1723,2051,12,-1688,-1483
-10,-15,-3,1,-8,-8,-8,-5,-5,-20,-9,-7,-12,1,-5,-5,-10,-1,-5,-8,1,-5,-8,-13,-6,226,-916,23,-1198,52
0,3,26,23,17,21,15,28,15,27,14,18,-18,-10,20,17,18,18,19,17,20,13,18,14,22,-430,334,-2,14,272
-24,-21,-23,-34,-26,-24,-34,-20,-83,102,-20,-26,-32,-30,-21,-50,-38,-21,-50,-27,-61,-17,-30,-24,-44,186,-3590,72,-4720,2485
-17,-38,-23,-7,-21,-18,-17,-8,-3,9,-17,-18,-1,2,-19,-21,-17,-22,-16,-21,-17,-14,-15,-13,-9,1548,-56,5,378,116
-18,-20,-20,-18,-16,-22,-25,-36,-52,-18,-16,-24,-17,-25,-20,-38,-18,-17,-19,-19,-71,-10,-27,-25,-31,356,1818,-52,-2494,1632
-15,-5,-17,-20,-15,-13,-11,-2,-6,9,-15,-9,-18,0,-15,-15,-8,-17,-15,-13,-11,-11,-13,-8,-3,1035,-627,9,-125,700
-25,-7,-14,-13,-18,-14,-13,-11,-14,-8,-12,-13,-15,-20,-16,-22,-14,-19,-18,-19,-16,-9,-8,-11,-13,-810,-820,8,642,708
