Unnamed: 0,FP1,FP2,F3,F4,C3,C4,P3,P4,01,02,F7,F8,P7,P8,Fz,Cz,Pz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6,EMG1,EMG2,IO,EMG3,EMG4
1163,4,7,-1,5,1,1,-1,6,-5,28,-1,3,-1,29,1,14,2,4,-6,5,-21,-4,3,-7,-1,-3362,-100,60,-2908,2658
1164,28,20,26,21,25,26,21,15,16,25,22,18,24,17,25,18,11,23,28,20,15,23,24,24,18,-677,-1094,-22,3194,-1304
1165,8,21,1,-11,-1,-2,-9,-7,-10,-7,3,5,1,-17,2,0,-8,3,0,-4,-3,1,11,-5,-5,-216,-245,-2,-174,-766
1166,-28,-32,-35,-16,-35,-26,-27,-31,12,153,-28,-26,-25,-35,-35,-5,-22,-31,4,-17,-31,-22,-25,-26,-22,-4068,-3442,41,1668,-3904
1167,-30,-29,-38,-27,-34,-23,-37,-34,-15,192,-27,-29,-40,-19,-32,-28,-35,-32,-15,-31,-73,-29,-30,-33,-24,-4234,2782,43,590,-4102
1168,19,17,11,18,14,17,15,11,21,-2,16,15,9,19,14,12,24,13,31,10,-12,8,20,12,21,3278,2626,-2,-2776,3292
1169,-20,-15,-10,-17,-16,-12,-18,-1,-43,-60,-18,-15,-34,-27,-18,-26,-17,-16,-30,-13,-29,-5,-12,-11,-30,-2071,352,94,-2577,-3742
1170,-1,-8,-3,-3,-3,-3,3,-6,16,3,0,1,0,-2,-5,1,-4,-3,-2,-3,0,3,-6,0,-5,811,-695,-98,1722,-2123
1171,-1,-5,2,0,2,-6,4,-11,8,10,2,-1,-10,-10,3,-2,-2,3,1,2,4,6,-7,6,-11,748,-355,-114,1258,-2092
1172,-4,14,20,25,14,13,16,21,4,28,11,10,-2,-5,16,14,17,16,14,14,11,12,16,17,19,-844,553,-6,160,766
1173,30,44,25,29,28,40,22,35,20,24,31,32,2,25,36,36,32,29,32,35,46,19,39,21,38,-870,-1388,26,-2376,1594
1174,4,-2,7,18,5,7,5,9,4,14,11,10,3,2,11,6,6,7,8,3,8,8,17,2,11,-54,-610,0,-552,-1861
1175,3,13,-20,-23,-13,-1,-8,2,-2,0,-14,-10,12,-20,-15,-12,-2,-13,-7,-9,-10,-9,-5,-18,0,-1939,1828,16,-1487,-1289
1176,-8,0,-3,5,-3,3,-2,2,11,26,-2,-2,-8,3,2,4,1,-1,9,3,14,-1,-3,-7,9,-473,-822,-62,768,-2250
1177,0,3,-1,5,2,10,5,11,-13,-8,-3,2,10,9,0,47,-1,4,1,-2,-6,-4,0,-4,3,-4827,1618,-16,2196,-920
1178,-15,3,7,8,-1,-1,1,1,-2,11,2,-2,5,-15,-1,-4,-2,2,0,-4,-16,3,-4,-1,-7,-2499,3102,23,734,-2794
1179,15,22,17,14,22,16,29,24,23,26,11,13,17,25,18,15,27,14,15,23,9,12,15,27,24,194,-97,0,574,-552
1180,21,22,13,6,18,18,20,15,12,16,5,9,2,19,12,15,14,13,12,17,2,12,16,23,20,-1650,-2013,-18,-330,-1680
1181,20,22,25,32,25,22,27,32,50,-15,15,27,25,12,20,60,15,25,37,23,65,19,33,20,39,-3422,2891,-27,1047,-3520
1182,16,20,11,17,10,13,9,15,6,27,14,15,18,14,13,21,12,16,5,16,-11,9,18,2,12,-3390,-62,66,-2854,2786
1183,10,34,30,16,19,22,15,9,8,28,20,17,0,30,26,16,7,21,26,15,15,17,21,18,8,-751,-1092,-31,2990,-323
1184,13,26,22,10,22,21,18,16,8,7,8,10,3,-2,17,17,13,16,14,18,9,12,19,20,24,-1113,-2082,-17,-553,-1592
1185,6,11,20,12,14,20,13,28,15,28,10,17,-16,-8,17,15,17,15,16,16,19,11,18,11,25,-469,251,-2,12,304
1186,0,-20,1,9,3,-1,6,6,-2,25,0,0,-7,-1,-1,6,4,2,2,3,8,7,-5,11,-4,-2348,2796,9,1566,-372
1187,-19,22,-18,-32,-17,-19,-16,-17,-23,16,-13,-14,-2,-29,-21,-17,-16,-17,-19,-19,-12,-17,-20,-18,-29,-2124,3007,15,-384,-2995
1188,5,8,4,3,6,8,13,10,6,-2,5,5,7,6,0,4,1,5,-8,10,81,3,-4,3,-4,-4346,767,0,4017,284
1189,-7,16,6,-2,4,2,6,2,14,22,5,1,11,0,7,4,5,1,2,1,14,0,-1,9,0,181,-244,8,1132,-844
1190,7,1,6,13,6,15,1,5,-1,-11,10,6,-6,9,13,10,9,6,9,10,13,1,10,2,4,154,-583,32,-1932,815
1191,-20,-20,23,37,12,6,8,8,6,4,9,5,-18,-16,11,14,3,13,12,10,15,15,1,17,6,1022,-1234,58,1593,1638
1192,-5,12,-11,-2,-3,-2,0,9,16,3,-5,1,-3,13,-9,2,5,-6,-2,2,17,-8,-4,-7,5,2335,-1744,58,1413,680
1193,14,16,7,7,13,14,13,15,-22,28,8,9,9,16,9,20,22,10,4,14,-79,10,7,8,8,3044,1994,-22,-3955,3048
1194,-5,-7,-1,-13,-4,-10,-5,-15,0,6,-3,-7,5,-10,-1,-7,-4,-2,1,-3,-14,-1,-19,-7,-13,2422,-460,-63,-375,-2203
1195,8,19,25,18,15,17,10,15,9,15,16,16,4,7,22,18,11,23,19,13,18,21,16,13,18,-528,-664,0,4,-54
1196,8,-12,8,23,8,12,11,16,12,11,9,8,9,12,9,14,15,10,10,9,9,6,12,2,8,-245,-194,-10,1788,2928
1197,21,20,7,-7,9,8,13,18,12,50,5,10,29,20,7,4,20,7,6,11,14,3,13,3,11,2357,1909,7,846,490
1198,-44,-38,-50,-43,-42,-46,-50,-45,16,-137,-48,-41,-53,-44,-49,-42,-54,-47,-14,-43,18,-40,-48,-41,-46,-3621,-3958,56,1516,-4604
1199,20,27,7,5,9,15,15,23,8,36,10,18,10,29,7,16,19,10,11,12,15,7,21,3,16,-716,1016,15,178,214
1200,17,29,20,10,22,22,20,16,9,11,8,11,0,4,17,18,15,17,15,19,8,14,22,23,26,-1284,-2035,-17,-508,-1598
1201,-4,3,25,21,12,12,9,-1,-1,66,15,5,1,8,20,11,-6,15,16,8,12,11,8,16,2,-722,-723,-38,3302,-4
1202,19,18,12,23,16,21,15,14,18,-17,16,14,14,21,17,14,20,17,29,8,-6,12,23,14,28,3248,2554,-8,-2332,3288
1203,14,12,8,10,15,11,14,8,8,-17,8,9,10,11,11,18,18,11,14,7,-43,9,12,10,17,3170,2468,1,-1840,3183
1204,3,4,-7,-7,1,0,-1,-3,-39,11,-2,-7,5,11,0,3,7,-1,-13,0,-97,1,-10,-5,-16,3045,2244,-26,-4232,3046
1205,2,7,-16,-22,-9,-9,-10,-7,0,-9,-10,-6,-2,-17,-12,-7,-14,-9,-7,-9,-8,-13,-11,-10,-2,723,-852,6,728,386
1206,-35,-37,-38,-39,-41,-44,-46,-48,-73,-107,-30,-41,-43,-31,-31,-78,-40,-34,-34,-33,-37,-30,-49,-36,-52,4096,1054,69,-5234,3592
1207,7,7,10,5,14,6,17,13,16,22,2,3,20,23,7,5,13,6,0,10,20,3,5,14,10,658,48,2,572,-957
1208,0,-11,-8,1,-6,-2,-2,1,4,0,-2,-4,6,3,-6,-6,3,-7,0,-3,7,-6,-1,-1,-1,4270,-1030,30,433,-764
1209,30,29,31,37,33,30,38,41,58,-9,22,32,35,20,24,64,30,30,44,31,75,28,36,34,39,-3086,2766,-24,1014,-3518
1210,-3,3,-3,-4,-3,-2,-1,-1,5,-2,-2,-4,17,1,-1,-2,-5,-6,-6,-3,-12,-4,1,-2,3,-3028,-1162,-2,598,-1551
1211,-11,-6,-7,-23,-9,-15,-13,-11,-30,-23,-13,-4,-29,-8,-10,10,-25,-8,-18,-14,-31,-6,-14,-3,-13,-3120,-354,46,246,1378
1212,-32,-35,-35,-37,-41,-34,-53,-50,-102,52,-25,-37,-54,-31,-27,-50,-38,-27,-47,-38,-93,-29,-41,-38,-52,2576,-3923,71,-5146,2836
1213,25,22,21,21,18,26,15,22,30,-27,25,25,26,33,19,12,12,20,18,17,47,17,22,9,19,-2056,-1282,15,4030,-1720
1214,0,3,-6,-14,-7,-10,-5,-11,-3,-23,-5,-4,11,-32,-8,10,-18,-5,-4,-8,-19,-5,-4,-7,-19,-3214,-492,54,-1504,1856
1215,1,1,-4,4,-1,2,-5,-5,-31,30,-1,-4,-12,4,0,-12,4,2,8,4,-41,-3,-4,-10,7,584,2748,-50,-2605,2231
1216,4,-2,0,-1,0,4,-4,-2,-7,-17,2,1,0,7,2,-1,4,-1,-3,2,0,-2,1,-4,2,792,775,38,-1490,494
1217,4,15,14,5,10,3,6,1,6,4,11,13,-3,-1,9,24,-2,13,11,7,-10,15,0,11,-7,-3264,16,58,-2658,2540
1218,13,29,15,15,12,17,13,26,19,17,15,21,14,22,12,23,17,18,23,17,23,11,11,1,16,742,-641,66,1126,1435
1219,3,0,0,-1,2,6,1,2,-14,7,0,2,6,7,2,19,11,1,3,1,-63,-1,0,-3,8,3074,2393,0,-1601,3118
1220,0,-4,2,10,-3,2,1,5,0,1,5,3,4,-1,0,-4,3,-1,1,3,-6,0,7,7,3,1300,-1226,26,-138,2215
1221,12,-11,3,11,10,8,13,18,26,16,-4,3,-9,7,1,13,15,7,9,11,31,0,8,11,10,3422,-1980,50,570,343
1222,10,1,-2,1,3,6,7,6,10,7,6,10,9,10,-1,4,-3,-5,-6,2,-21,1,16,4,9,-4615,-618,-94,214,-158
1223,-3,1,3,-4,-6,-2,-4,2,-8,26,-2,0,-11,1,0,1,-1,5,-4,4,-14,1,-9,-2,-1,-3462,444,58,-2982,3076
1224,-39,-39,-45,-30,-38,-33,-45,-43,-43,211,-33,-36,-42,-30,-38,-32,-46,-41,-1,-40,-80,-32,-37,-37,-34,-4165,2570,38,2016,-4340
1225,-16,-25,-7,7,-4,-5,-3,3,-11,21,-11,-11,-10,-11,-11,-5,-2,-7,-6,-7,3,-1,-12,-2,0,-2618,3102,14,-343,-3072
1226,6,2,-8,-16,-7,-4,-7,-4,-1,-1,-1,1,10,-17,-6,-8,-5,-8,-4,-9,-4,3,3,-8,-6,72,-426,8,69,463
1227,10,8,0,-1,7,7,2,1,-39,5,4,-2,5,8,8,5,10,6,-5,3,-94,6,-1,0,-8,2940,649,-28,-5170,2996
1228,-5,2,9,0,10,6,4,1,4,-1,-2,-5,11,-6,6,4,-1,2,-4,2,-5,-3,-3,4,2,-498,-1844,-15,-862,-1714
