Unnamed: 0,FP1,FP2,F3,F4,C3,C4,P3,P4,01,02,F7,F8,P7,P8,Fz,Cz,Pz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6,EMG1,EMG2,IO,EMG3,EMG4
0,14,-2,2,-7,5,6,8,4,14,7,-4,-3,18,10,2,4,4,2,0,6,-10,-2,1,4,6,-2084,-1850,-12,-202,-1815
1,-11,-7,-2,-1,-1,-7,-1,-8,9,-17,-6,-9,-4,-21,-1,-2,-1,0,-2,-3,8,0,-13,-3,-9,1964,-2930,-54,-209,-2469
2,-19,-10,-6,-4,-9,-12,-5,-9,-12,-2,-6,-10,-8,-14,-6,-12,-8,-9,-13,-9,-13,-4,-12,-4,-10,-456,224,4,60,32
3,8,3,-32,-35,-18,-16,-15,-7,0,-13,-17,-8,3,3,-25,-14,-10,-21,-19,-12,9,-22,-14,-22,-16,1898,-1600,66,1522,1138
4,27,23,33,41,30,29,32,34,49,23,28,29,28,26,33,38,44,33,68,28,48,31,29,30,39,3454,-1324,-24,-1260,-3804
5,-2,-3,-3,-4,-9,-4,-9,-4,6,21,0,0,12,-13,-8,-3,-6,-4,-9,-5,19,-3,0,-6,-4,-2792,1012,78,1352,2308
6,1,0,5,4,2,4,1,8,8,9,4,8,5,6,4,6,5,6,6,4,14,3,1,-9,11,896,-1182,-102,824,-2532
7,13,10,11,2,4,10,1,5,-10,19,14,9,24,-2,13,-4,3,11,-3,-2,-98,2,13,-5,2,-1208,810,-77,-3038,36
8,7,8,7,-3,2,0,-1,1,-13,-34,5,8,6,-1,4,16,-6,7,-7,-2,-54,8,5,3,-6,-2996,-538,52,2430,753
9,-12,-7,-5,-6,-8,-7,-6,-7,-4,-11,-7,-10,13,-7,-5,-8,-10,-10,-9,-8,-18,-8,-6,-6,-2,-2985,-1029,-2,602,-1442
10,10,10,9,-3,6,15,-3,12,-9,-3,2,5,11,25,8,5,-10,5,-22,-2,-17,-6,15,-1,6,-3115,-1688,-94,-1226,1136
11,4,-11,2,1,3,0,3,3,3,7,-4,-5,7,7,2,3,4,5,2,2,-2,3,-8,-2,-5,-2603,1536,8,-1609,-693
12,-41,-44,-41,-24,-42,-41,-40,-50,11,92,-32,-31,-40,-30,-43,-26,-41,-39,11,-30,-28,-32,-45,-41,-36,-3844,1760,42,1911,-3978
13,-4,23,13,12,10,6,10,21,7,-4,2,2,19,18,7,15,14,14,5,13,22,7,-8,5,1,90,-1146,-23,806,2930
14,-20,-33,-10,-9,-13,-13,-9,-8,-16,-16,-20,-21,-8,-5,-13,-15,-14,-16,-12,-15,-22,-15,-16,-2,-3,-2196,-504,-4,132,-847
15,5,15,8,5,12,6,15,11,15,14,4,3,19,5,8,6,15,4,3,11,11,8,8,15,10,-571,-490,0,570,-657
16,0,1,2,-5,3,7,-3,2,-2,4,1,-1,2,4,3,-4,-15,-1,-22,-8,-35,2,4,0,-3,-4126,-1468,-96,-747,950
17,-32,-31,-28,-40,-35,-32,-41,-23,-82,68,-29,-33,-34,-26,-27,-54,-47,-29,-51,-34,-69,-26,-38,-31,-49,604,118,76,-4704,-3484
18,-25,-1,1,-19,-12,-17,-12,-14,-11,1,-12,-10,-14,-5,-10,-15,-12,-9,-17,-11,-14,-2,-19,-9,-21,-676,68,10,50,-516
19,5,10,12,6,10,4,-1,-2,-1,2,8,5,-5,-5,11,10,3,13,9,6,8,10,2,2,-8,680,-314,-4,728,-1066
20,-18,-20,-24,-33,-30,-22,-36,-34,-94,80,-13,-30,-28,-25,-16,-65,-29,-18,-44,-24,-115,-19,-35,-27,-47,3486,-3746,70,-4882,2774
21,-6,-7,-16,-22,-16,-13,-9,-4,-8,5,-12,-12,11,-7,-13,-16,-8,-13,-10,-15,-25,-9,-17,-13,-13,-2440,1942,22,-1719,-1198
22,1,-10,-11,-17,-13,-12,-10,-8,-7,-27,-13,-11,3,1,-9,-5,-9,-6,-6,-10,-2,-15,-12,-15,-15,390,-1096,20,-824,-22
23,5,4,15,9,10,5,7,0,7,0,12,11,5,-27,12,9,7,14,9,11,16,14,6,2,10,684,-954,-104,780,-2606
24,9,5,6,6,9,12,8,9,-3,9,6,7,11,16,8,24,17,7,12,6,-48,4,5,4,15,3108,2432,1,-1624,3130
25,5,7,10,-1,5,2,8,7,5,1,10,11,-1,9,8,-10,6,6,-8,2,55,12,12,13,9,-547,114,52,3818,-1804
26,0,4,-2,-4,-4,0,1,9,-6,-5,-9,-6,12,15,-7,1,-7,-3,-7,-1,51,-7,-3,-7,-7,-4270,420,-2,3912,451
27,-7,-7,-8,-1,-5,-6,-13,-16,-25,-9,-4,-11,-12,-18,-5,-18,-8,-5,-1,-4,-63,-5,-12,-8,-11,1504,1384,-42,-2346,1850
28,39,41,41,33,37,54,31,51,27,37,31,39,16,33,41,42,28,37,17,33,20,28,56,27,54,-3158,-1900,-100,-1749,1482
29,2,-10,-1,8,5,6,7,19,0,36,-5,1,-2,24,-3,5,9,1,4,2,10,4,-1,8,19,-2514,3047,19,-166,-3045
30,1,30,17,14,14,14,17,22,5,28,15,17,-4,0,13,15,20,16,13,13,12,16,11,15,14,-780,950,13,50,530
31,-4,-20,4,-7,-1,-1,0,-12,7,-54,-5,-8,1,-30,7,6,-10,-2,-5,-2,6,-1,-5,7,7,-35,-2706,-58,1030,-3468
32,13,17,9,12,10,14,9,12,0,-13,12,13,9,-3,8,17,6,12,12,11,55,11,13,4,4,-4176,250,7,3600,180
33,30,47,32,28,30,36,24,26,22,57,36,33,29,26,34,28,14,30,32,26,32,29,35,26,34,-386,-1144,-16,3138,-2316
34,-5,-8,-7,-8,-4,-2,-8,-9,-31,-4,-6,-6,-2,-11,-5,13,2,-6,-5,-6,-83,-7,-7,-10,-4,3103,2370,-1,-1845,3116
35,-10,12,-16,-24,-11,-13,-9,-7,-11,26,-12,-10,4,-10,-18,-11,-8,-13,-14,-13,-5,-12,-16,-13,-16,-2447,2992,16,-548,-2977
36,22,12,8,13,13,17,13,23,19,-2,12,16,-2,18,13,26,17,16,15,17,18,7,14,5,5,762,-1135,37,888,2322
37,-6,-11,-16,-18,-12,-14,-2,-1,-6,7,-16,-11,-1,0,-19,-13,-9,-14,-16,-12,-11,-10,-12,-4,-9,-2186,1458,18,-60,-1286
38,-18,-20,-28,-25,-20,-17,-24,-22,-30,98,-19,-27,-14,-11,-20,-43,-19,-24,-33,-24,-92,-20,-25,-23,-26,1706,-2723,28,-2838,2652
39,3,-1,8,16,7,13,0,5,-13,-14,8,5,-17,-1,12,11,3,10,8,8,-11,2,7,4,7,-494,-1828,-12,-23,2958
40,-15,-9,-10,-4,-9,-8,-9,-9,5,13,-13,-14,-16,-2,-5,-3,-9,-7,0,-3,6,-10,-15,-11,-4,-797,-1638,-66,434,-2717
41,3,2,-8,-7,1,0,-3,-6,-44,3,-3,-9,3,7,1,1,5,-1,-13,-3,-100,-1,-10,-7,-17,2968,2100,-27,-4558,3023
42,28,44,27,22,30,34,32,34,33,26,21,24,18,50,32,32,31,29,35,34,39,22,22,23,35,-1280,1062,-44,899,2524
43,-17,-14,-12,-6,-8,-11,-9,-9,-56,3,-13,-11,-19,-9,-14,14,-6,-12,-11,-12,-64,-3,-13,-6,-14,-5384,1687,-32,-2244,1102
44,-11,-3,15,19,6,4,6,8,2,2,5,5,-15,-2,9,5,0,9,9,4,11,11,6,10,11,785,-1168,8,389,310
45,-13,-14,-14,-12,-14,-12,-5,-13,-5,10,-13,-16,-1,-3,-14,-16,-6,-15,-8,-9,-23,-13,-17,-9,-13,2492,-750,-65,352,-1886
46,-19,-21,-23,-32,-27,-20,-36,-32,-99,80,-14,-30,-32,-26,-14,-55,-28,-17,-44,-24,-102,-18,-36,-26,-44,3084,-3920,64,-4872,2714
47,-6,-14,-17,-11,-13,-10,-8,-8,-7,15,-13,-15,-3,-5,-12,-15,-8,-13,-11,-11,-13,-8,-11,-8,-10,-884,-316,8,-490,-1408
48,2,-4,-2,1,1,4,3,19,29,4,-4,6,-1,33,-1,6,6,0,5,1,19,-5,1,-7,14,3196,-2503,56,-18,-18
49,-28,-26,-36,-25,-34,-20,-34,-30,-9,191,-26,-27,-38,-11,-30,-26,-31,-30,-13,-28,-72,-28,-28,-32,-20,-4380,2616,42,765,-3858
50,-1,-1,-10,-15,-7,3,-3,3,2,33,-4,-8,25,24,-8,-11,-5,-11,-35,-12,-75,-8,-9,-1,-10,-3468,-1580,-78,-2518,1582
51,-9,-8,-23,-27,-18,-17,-14,-12,-5,3,-11,-7,-6,-7,-20,-20,-13,-22,-23,-16,-16,-17,-15,-15,-15,-644,186,20,-79,-397
52,-39,-39,-43,-40,-46,-38,-56,-45,-99,33,-34,-43,-52,-28,-33,-57,-41,-34,-49,-41,-92,-33,-47,-44,-49,4585,-4331,70,-5116,3172
53,14,0,-3,-9,0,-1,0,0,2,-8,-2,2,5,15,-1,6,2,4,0,3,4,-7,-4,-8,-5,1824,-2560,38,-307,-960
54,19,24,21,9,14,13,11,16,11,9,18,25,22,27,21,42,5,22,15,14,-17,15,18,1,9,-3065,128,48,-2610,1506
55,27,23,21,20,23,29,17,25,12,10,19,21,9,5,22,25,21,22,18,25,34,19,27,21,28,-968,-649,18,-1331,278
56,6,5,-17,-26,-12,-11,-12,-10,-7,-4,-7,-4,8,2,-12,-10,-9,-12,-13,-7,-11,-17,-10,-17,-13,1132,-1772,17,346,2826
57,18,25,21,9,14,14,11,18,8,11,17,25,21,29,21,42,6,22,15,14,-14,15,18,1,12,-3066,268,47,-2439,1646
58,-34,-32,-38,-26,-39,-35,-51,-37,-13,-195,-32,-25,-43,-26,-37,-30,-50,-36,-6,-34,34,-34,-30,-46,-33,-3477,2262,66,-359,-3415
59,9,5,-7,-2,-4,-1,3,-2,2,42,4,3,18,-10,-4,11,3,-2,3,7,17,-2,0,-6,-10,-3602,1328,73,-2122,3186
60,7,8,9,7,5,9,6,6,13,20,9,12,-5,5,3,11,2,9,2,7,34,11,8,7,3,-2116,1098,74,1624,1854
61,7,1,-4,-4,-1,2,-2,-3,-31,4,0,-10,-4,-7,3,-30,11,2,10,5,-68,0,-14,-2,-9,2674,-4284,12,-1765,2705
62,26,27,19,16,25,26,19,19,-28,32,21,17,11,19,23,16,24,22,13,17,-75,24,21,19,11,3010,-714,-30,-5399,2996
63,10,7,-4,-15,-1,0,2,4,3,8,-3,2,-2,-4,-2,1,4,4,-1,0,-8,-3,-7,-7,0,-2314,1672,14,-1670,-573
64,1,10,3,-4,1,-1,1,1,4,6,-4,-4,14,2,0,1,2,5,0,0,-5,3,-7,-7,-6,-2782,1629,10,-1581,-799
65,-3,2,-4,-7,-6,-2,1,7,-5,-6,-10,-8,16,14,-10,-2,-9,-5,-11,-3,51,-10,-7,-8,-11,-4282,620,-4,3920,610
66,12,11,-3,-4,2,8,-8,4,-59,69,4,-3,-11,26,11,-17,28,5,-19,17,-126,6,-2,-5,-3,2737,-4374,16,-5142,2760
67,-7,-2,2,-6,-4,1,-2,3,-5,15,-7,-8,-2,-4,0,-5,1,1,-2,-5,-4,4,-8,0,1,-1520,139,10,-1422,-710
68,1,4,8,12,7,8,10,14,11,4,5,9,-3,10,5,12,3,8,8,6,6,5,6,6,13,56,-484,18,-816,52
69,9,9,8,5,6,14,7,16,16,18,8,8,18,11,5,5,3,3,-8,2,-40,8,16,11,8,-4467,-1258,-96,126,770
70,4,8,6,6,2,9,6,8,11,53,8,9,2,7,2,9,10,4,3,9,28,9,6,4,0,-3226,940,76,438,3196
71,-4,-7,3,10,4,3,7,9,10,-7,2,2,0,-6,0,6,6,4,5,3,10,2,-6,2,0,2412,-2644,36,-346,-513
72,-13,-15,8,20,0,3,-2,4,-2,-9,2,-1,-16,8,8,7,1,9,12,2,8,2,-7,-5,1,1070,-1930,26,-532,-457
73,6,6,7,-4,5,0,8,6,13,3,8,8,4,15,7,-10,7,4,-7,2,48,9,6,11,2,-576,-468,51,3907,-2120
74,-25,-36,-17,-11,-16,-22,-13,-31,-20,-9,-20,-32,-20,-45,-16,-26,-18,-17,-14,-15,-27,-11,-32,-2,-28,2436,-498,-73,-16,-1773
75,-12,-20,-18,-10,-16,-15,-12,-10,-8,-9,-14,-13,-8,-9,-19,-19,-7,-19,-13,-14,-5,-13,-9,-11,-14,4344,-975,31,292,-539
76,1,16,17,1,8,14,6,6,8,0,7,5,13,8,17,16,6,9,5,-6,-9,0,19,5,12,128,-1846,-14,-1869,-2130
77,10,11,11,1,6,4,3,6,-8,-30,8,11,5,2,8,17,-1,11,-3,1,-53,12,10,6,1,-2996,-604,51,3060,630
78,10,-7,-4,-12,-1,-1,-2,-11,-8,77,-4,-6,5,-22,-1,-5,-20,-3,-1,-3,-3,-1,-2,3,-2,-228,-597,-34,3083,-64
79,6,-20,23,20,14,12,12,4,2,223,11,4,2,-8,18,1,-26,13,12,5,13,16,17,20,6,-802,-80,-46,1120,2340
80,5,7,6,3,-3,3,0,3,-8,17,7,6,11,-10,4,6,2,8,0,7,-16,7,2,1,4,-3397,148,62,-2908,3046
81,-14,-14,-18,-15,-18,-13,-12,-12,0,-33,-15,-15,-13,-18,-21,-20,-20,-18,-21,-19,9,-11,-13,-7,-17,-1922,-435,16,2915,-434
82,15,13,24,24,19,19,20,20,26,33,15,17,2,20,22,26,28,24,27,24,28,13,19,10,16,3210,88,24,-2046,1563
83,-6,-6,-10,-13,-9,1,-7,-3,-8,19,-4,-11,20,14,-9,-11,-10,-13,-34,-13,-62,-10,-11,-4,-21,-3578,-1396,-80,-2184,1663
84,15,14,9,2,8,7,11,14,10,58,8,11,25,10,5,13,9,9,10,9,19,10,8,5,9,-2162,2865,10,1078,-813
85,19,15,19,24,21,23,27,36,45,-18,5,18,13,37,14,51,27,20,30,20,65,16,22,24,29,-3354,2615,-32,662,-3360
86,-33,-34,-39,-40,-42,-40,-50,-46,-83,-50,-34,-44,-43,-43,-35,-75,-37,-33,-45,-33,-61,-33,-46,-43,-58,4336,-3142,70,-5166,3335
87,-1,3,1,1,2,3,5,3,22,23,0,1,4,-4,1,3,7,2,3,5,-5,5,-2,0,4,2200,-572,-79,1166,-2194
88,6,-1,8,11,9,12,12,-1,0,2,10,4,-5,-40,10,5,6,8,13,11,7,12,5,14,15,997,-970,-76,40,-3129
89,-26,-32,-30,-19,-29,-31,-31,-39,-9,50,-19,-20,-26,-42,-32,-12,-25,-27,10,-19,-56,-18,-37,-26,-35,-4052,471,40,2181,-4120
90,10,14,14,4,8,9,7,13,-2,-19,8,13,-7,1,13,15,5,14,-1,4,-58,14,17,12,14,-2990,-125,49,3805,830
91,8,4,-6,-2,-2,0,5,3,0,39,5,5,8,-8,-3,11,8,1,4,8,16,1,-4,4,-2,-3498,1540,74,-2100,3144
92,9,46,30,13,17,19,16,14,20,21,21,20,19,25,24,17,12,20,30,16,-3,12,22,15,13,-397,-380,-14,458,-1642
93,-7,-8,-6,-2,-5,-2,-8,-7,9,8,-11,-15,-2,-5,-1,1,2,0,5,0,6,-9,-18,-16,-10,1762,-742,-89,804,-2216
94,-31,-33,-40,-49,-41,-37,-53,-46,-107,46,-27,-41,-37,-54,-31,-77,-37,-34,-58,-42,-114,-35,-43,-39,-50,3714,-3332,78,-4972,2854
95,-8,-13,-12,-11,-11,-5,-6,-13,-21,19,-7,-12,-7,-24,-13,-19,-7,-14,-6,-8,-28,-6,-13,-4,-11,2766,-2466,-72,-1522,-4485
96,0,-29,-6,4,-7,-5,-9,-12,-13,-24,3,-5,6,-30,-5,-10,-10,-6,-11,-7,-24,-2,-4,-1,-15,-672,-524,0,813,2967
97,12,14,15,5,9,9,7,13,-2,-22,9,14,-1,2,13,17,5,15,0,4,-55,16,16,11,12,-2995,-154,50,3736,759
98,24,21,19,21,20,20,27,33,44,-23,16,23,31,20,22,48,41,25,21,22,62,15,25,21,38,4334,2848,-18,-329,-2044
99,2,24,-12,-19,-7,-7,-5,-4,-4,1,-7,0,-7,10,-12,-11,-2,-10,-5,-6,1,-8,4,-5,-4,4468,-633,32,-192,514
100,-19,-5,-3,1,-8,2,-4,9,-5,6,-9,-11,-14,15,-2,-6,2,-4,-1,-5,-8,-2,-15,-4,1,-1723,2051,12,-1688,-1483
101,-10,-15,-3,1,-8,-8,-8,-5,-5,-20,-9,-7,-12,1,-5,-5,-10,-1,-5,-8,1,-5,-8,-13,-6,226,-916,23,-1198,52
102,0,3,26,23,17,21,15,28,15,27,14,18,-18,-10,20,17,18,18,19,17,20,13,18,14,22,-430,334,-2,14,272
103,-24,-21,-23,-34,-26,-24,-34,-20,-83,102,-20,-26,-32,-30,-21,-50,-38,-21,-50,-27,-61,-17,-30,-24,-44,186,-3590,72,-4720,2485
104,-17,-38,-23,-7,-21,-18,-17,-8,-3,9,-17,-18,-1,2,-19,-21,-17,-22,-16,-21,-17,-14,-15,-13,-9,1548,-56,5,378,116
105,-18,-20,-20,-18,-16,-22,-25,-36,-52,-18,-16,-24,-17,-25,-20,-38,-18,-17,-19,-19,-71,-10,-27,-25,-31,356,1818,-52,-2494,1632
106,-15,-5,-17,-20,-15,-13,-11,-2,-6,9,-15,-9,-18,0,-15,-15,-8,-17,-15,-13,-11,-11,-13,-8,-3,1035,-627,9,-125,700
107,-25,-7,-14,-13,-18,-14,-13,-11,-14,-8,-12,-13,-15,-20,-16,-22,-14,-19,-18,-19,-16,-9,-8,-11,-13,-810,-820,8,642,708
108,-4,1,-1,-6,-4,2,-3,6,5,20,-5,-1,-4,6,-4,-4,1,-4,-4,-3,0,-1,1,-1,8,-512,646,6,-51,-171
109,-11,-5,-11,-10,-9,-11,-6,-11,4,-8,-5,-8,-1,-14,-11,-18,-6,-11,-13,-9,-18,-1,-14,-1,-9,2062,-2576,-44,-610,2104
110,18,20,15,19,15,24,21,27,29,42,21,24,21,35,15,19,13,11,8,12,-23,16,29,23,28,-4596,-932,-86,-9,356
111,-24,-19,-24,-29,-23,-25,-20,-24,-6,-17,-24,-25,-6,-26,-25,-23,-18,-24,-23,-20,-8,-22,-33,-22,-23,1600,-747,-78,288,-2947
112,16,-5,-5,-2,-1,5,-1,5,3,-4,8,7,16,-5,-1,-1,-1,-1,-3,-1,-9,-2,6,-1,-3,-32,-986,-5,614,3115
113,9,-13,-2,6,-5,3,-10,-4,-12,-16,5,4,-4,2,1,-2,-10,-2,1,-6,2,-4,18,-7,-2,-870,-928,-2,747,1162
114,13,4,10,13,11,17,9,11,12,-2,11,8,18,-22,14,17,3,9,12,10,13,5,18,5,12,-3700,-1704,-106,158,-2304
115,15,-8,-5,-10,0,2,-3,-8,-8,76,-3,-5,4,-23,0,-3,-18,-2,1,-2,-3,0,4,3,3,-124,-433,-34,3068,-276
116,2,7,-3,2,-3,5,8,7,-2,66,-1,3,-7,10,-4,12,2,-3,3,7,21,1,7,0,0,-3592,804,74,-1606,3202
117,-24,-29,-27,-15,-31,-27,-32,-40,-21,70,-16,-17,-38,-33,-28,-12,-27,-26,26,-19,-63,-14,-26,-24,-29,-4240,1819,44,989,-3866
118,-3,-30,-17,-5,-14,-10,-11,-7,0,-10,-8,-9,7,1,-17,-12,-11,-15,-14,-13,-16,-11,-9,-12,-16,1242,-358,29,14,-130
119,-3,-21,-9,-6,-6,-10,-3,-7,-8,-13,-6,-8,1,-9,-11,-18,-4,-10,-17,-8,-8,-4,-6,3,-4,1106,1386,42,-717,158
120,-7,-5,-4,-9,-6,-8,-11,-12,1,5,-8,-8,0,-15,-3,0,-3,0,-4,-4,13,-7,-14,-16,-1,208,-497,-108,1222,-1780
121,20,18,20,19,19,23,15,21,16,-4,14,15,27,40,22,21,6,16,18,12,0,11,27,11,22,-2014,-3498,-114,-150,-5304
122,-12,-7,-9,-23,-10,-15,-15,-11,-32,-26,-13,-3,-34,-8,-11,7,-25,-9,-17,-16,-29,-6,-13,-1,-12,-3136,-140,52,-216,1694
123,2,14,-1,-9,-1,-2,-1,1,4,6,-5,-4,14,0,-2,-1,1,3,-2,-1,-7,0,-7,-10,-5,-2834,1614,12,-1558,-734
124,20,5,6,10,7,12,5,7,9,2,14,13,13,8,11,8,7,9,12,10,11,5,17,-3,4,414,-912,16,488,2284
125,-5,-2,-9,-22,-16,-14,-7,-29,-6,-97,-2,-9,15,5,-1,-7,-17,-16,-10,-9,9,-12,-7,-1,-8,-1498,-3134,-44,1620,-4544
126,-26,-19,-10,-15,-14,-17,-17,-20,-21,-20,-13,-14,-32,-31,-14,-16,-19,-15,-16,-15,-17,-3,-20,-9,-22,1551,-500,7,-59,1202
127,-10,-7,-9,-10,-4,-14,-4,-12,3,12,-11,-10,-14,-15,-10,-7,-4,-6,-6,-3,17,-4,-16,-5,-10,1264,-57,-76,1096,-3711
128,6,7,11,18,14,17,13,25,-43,21,5,13,-11,18,10,52,18,13,14,10,-31,16,15,12,16,-5082,1292,-30,-2176,477
129,3,-9,-2,4,4,3,6,16,2,2,-5,-1,-13,14,3,6,6,4,2,5,-2,-5,-4,2,3,462,-1176,-38,1202,3746
130,-25,-21,-25,-31,-26,-29,-22,-18,-17,-24,-24,-23,-3,-7,-25,-28,-24,-27,-32,-26,-130,-24,-30,-22,-22,-458,-276,50,3820,270
131,9,7,2,13,7,10,6,6,18,-22,4,3,16,27,6,4,11,6,21,-2,-15,1,9,0,17,3288,2564,-7,-2225,3222
132,-6,-9,26,30,15,19,14,24,14,24,16,15,-15,-11,21,16,17,17,18,16,19,13,14,12,16,-418,386,-3,12,232
133,8,4,-8,-12,-4,-5,-7,-7,-7,-21,-5,-2,-1,-2,-5,3,-4,0,-4,-2,0,-12,-6,-15,-8,1822,-2446,38,-390,-968
134,16,29,14,4,9,14,3,9,2,-3,8,11,5,8,10,11,4,13,10,11,9,1,20,0,4,-568,-3224,-17,495,2904
135,-12,-6,-12,-11,-12,-12,-8,-12,2,-11,-6,-10,-1,-15,-13,-20,-7,-13,-15,-10,-22,-4,-14,-3,-10,2036,-2394,-42,-502,2074
136,-9,-5,1,-6,-4,-4,-6,5,1,11,-9,-6,-1,1,-2,-3,-2,-1,-1,-5,1,-1,-9,-3,1,794,-612,-4,226,-106
137,0,-22,-21,-18,-14,-12,-7,-8,-3,2,-10,-9,1,-15,-15,-15,-7,-18,-14,-13,-11,-8,-7,-9,-13,-1213,-260,10,-62,-346
138,16,17,19,15,15,18,15,12,10,21,17,15,8,-8,17,14,13,17,20,18,-4,19,15,17,15,2578,-963,-66,-146,-2340
139,9,2,16,17,10,20,12,16,12,13,17,17,-16,-5,15,13,14,12,14,15,6,14,15,21,17,534,-1358,19,-284,1131
140,-2,-2,0,4,-1,4,-5,-3,11,7,-4,-8,-1,-7,5,7,6,5,10,5,6,-2,-9,-13,-7,2096,-524,-88,1043,-2230
141,-10,-23,1,8,-2,-4,-3,-3,-2,3,-1,-4,-2,-2,-2,-5,-1,-2,0,-2,3,-7,-10,-3,-3,4576,-594,22,-328,1456
142,-4,-4,-12,-9,-8,-9,-4,-3,2,11,-1,0,1,0,-10,-11,-4,-12,-13,-6,-7,-6,-2,-6,-10,-630,26,14,-77,-374
143,5,8,11,3,7,8,8,2,10,20,6,4,9,1,10,6,6,7,16,10,-1,8,2,7,7,2352,-498,-62,-392,-2330
144,-14,-13,-14,-10,-10,-13,-15,-17,-23,11,-7,-15,-14,-12,-9,-23,44,-10,-4,-2,-41,-10,-20,-18,-19,1814,4220,-40,-2812,-2350
145,-1,-19,-17,-16,-13,-8,-6,-7,-5,-2,-14,-14,-2,-4,-14,-13,-10,-14,-12,-11,-10,-11,-10,-8,-11,-1266,10,4,-130,-666
146,-29,-36,-33,-32,-34,-26,-28,-23,-16,-21,-34,-36,-3,1,-30,-31,-24,-34,-28,-34,-23,-32,-35,-31,-26,-364,-420,-92,144,-2524
147,14,15,10,11,14,17,12,17,-20,26,10,13,7,19,11,25,23,12,10,14,-76,9,14,9,20,3011,1982,-14,-3516,3066
148,-4,-4,-2,3,-3,-1,5,-3,6,32,-2,-8,3,9,0,-9,3,-3,4,1,-9,2,-5,5,-8,2486,-676,-74,368,-2028
149,-13,-23,-13,-15,-13,-14,-12,-8,-8,4,-15,-14,-9,-3,-14,-13,-9,-14,-15,-11,-13,-14,-18,-12,-12,-652,-961,8,-274,-282
150,2,5,1,3,-2,6,2,6,10,46,3,5,3,-4,-2,5,7,0,0,4,26,4,7,2,7,-3048,1039,76,848,2992
151,6,-2,-13,-9,-3,1,3,9,4,16,-10,-4,0,16,-9,-4,5,-7,-5,-1,2,3,-4,0,4,-1007,104,12,-171,-1238
152,28,29,22,18,27,28,22,22,-28,38,23,19,13,20,25,18,26,24,14,19,-74,27,22,21,12,2981,-1140,-30,-5336,2992
153,-12,-12,-7,-6,-6,-8,-8,-11,6,10,-15,-18,-6,-4,-6,-4,-2,-4,1,-2,6,-11,-23,-14,-11,1482,-501,-86,1002,-2388
154,-6,-27,-30,-23,-16,-19,-12,-7,0,-14,-29,-22,-13,-6,-27,-12,-12,-21,-18,-16,2,-26,-21,-15,-18,3526,-2154,45,408,498
155,16,25,17,11,23,16,29,25,24,29,10,13,18,28,17,15,27,14,15,23,12,14,16,26,24,13,-218,0,478,-653
156,24,27,17,8,16,12,15,19,13,-1,17,18,19,21,21,22,19,23,14,18,6,15,10,8,-1,-464,-710,-32,1590,3784
157,-9,2,0,0,-5,2,-3,0,-5,-1,0,-4,0,-14,-1,-5,-2,-3,0,-6,-4,-2,-1,-4,-9,-1784,3266,10,224,-1824
158,-24,-17,-17,-24,-18,-14,-23,-7,-48,-37,-23,-26,-23,-24,-21,-33,-24,-18,-34,-21,-35,-17,-30,-22,-35,-3660,3400,90,-1833,-3837
159,16,7,22,10,15,12,11,10,8,16,16,14,16,1,21,11,11,17,10,9,19,13,18,18,14,3272,1702,1,1440,404
160,4,5,7,1,2,8,5,3,-20,70,8,1,6,2,3,-1,6,4,6,0,-46,5,0,7,-11,1794,-222,-73,-2891,-1618
161,-24,-24,-27,-29,-26,-29,-23,-19,-20,-27,-24,-21,-8,-11,-26,-27,-25,-28,-31,-26,-131,-23,-27,-23,-20,76,-495,51,3736,180
162,-1,-9,1,3,5,-2,8,7,-2,29,-1,0,-10,1,-2,6,5,2,1,5,10,10,-11,16,-2,-2222,2814,10,1550,-640
163,11,10,11,6,12,16,9,11,8,14,11,9,5,15,12,5,-5,7,-9,2,-29,11,14,15,3,-4098,-1274,-96,-824,1096
164,19,15,7,2,11,13,3,5,-47,48,12,1,-5,-3,17,-11,31,15,-6,19,-106,9,1,7,-10,2701,-4282,13,-4166,2754
165,5,7,21,28,20,18,19,24,34,22,10,13,-2,7,16,23,24,19,19,21,42,13,14,15,17,2864,-1859,56,794,522
166,3,3,1,-9,-4,-6,-7,-4,-18,-36,0,3,7,-5,-1,14,-12,2,-10,-7,-53,0,0,-3,-12,-3009,-236,54,1156,1300
167,-32,-38,-39,-27,-40,-39,-44,-54,6,-52,-28,-25,-53,-27,-40,-30,-36,-35,21,-34,-11,-33,-39,-43,-40,-3880,-1242,50,1543,-3802
168,-3,8,-11,-18,-7,-7,-8,-4,-1,-9,-10,-6,-4,-21,-10,-6,-12,-6,-6,-7,-6,-10,-11,-6,2,678,-794,6,728,461
169,-4,-2,-8,-3,-4,2,0,5,-13,-25,-9,-4,7,4,-8,35,-8,-3,-9,-8,-9,-9,-6,-7,-5,-4803,1345,-16,2770,-1067
170,-13,-13,-6,-6,-5,-9,-6,-11,6,11,-15,-17,-6,-4,-6,-4,-2,-4,1,-1,7,-9,-23,-12,-10,1684,-528,-86,1201,-2436
171,-17,-12,-9,-17,-10,-8,-14,-16,-24,-34,-14,-17,-19,-29,-15,-30,-5,-13,-25,-12,-53,-34,-16,-23,-17,3258,-3651,85,-830,-3693
172,-9,-6,-10,-11,-10,-7,-3,-4,13,-4,-9,-9,4,-7,-13,-8,-13,-9,-16,-8,25,-11,-16,-6,-12,-1898,282,25,2253,346
